address,lat,lon,title,district
"6F., No.62 Changchun Road, Zhongshan District, Taipei 104, Taiwan ",25.05493,121.52626,Beauty Hotels Taipei - Hotel Bnight,Zhongshan
"No.25 Section 2, Xinsheng North Road, Zhongshan District, Taipei 104, Taiwan ",25.053652,121.52775,Beauty Hotels Taipei - Hotel Bchic,Zhongshan
"No.369 Linsen North Road, Zhongshan District, Taipei 104, Taiwan ",25.05774,121.52554,Gloria Prince Hotel Taipei,Zhongshan
"No.299 Zhifu Road, Zhongshan District, Taipei 104, Taiwan ",25.0809,121.56158,Mulan Motel Taipei,Zhongshan
"No.168 Jingye Fourth Road, Taipei 104, Taiwan ",25.084333,121.5585,Grand Victoria Hotel,Zhongshan
"No.9 Section 1, Min-Chuan East Road, Taipei 104, Taiwan ",25.062944,121.52334,Sunroute Hotel,Zhongshan
"No.24 Lane 170 Dehuei Street, Jhongshan District, Taipei 104, Taiwan (Formerly Aristocrat Hotel)",25.06506,121.53179,The Metro Hotel,Zhongshan
"No.14, Lane 56, Section 3, Xinsheng North Road, Zhongshan District, Taipei 104, Taiwan ",25.06536,121.52685,Taipei Lotty Hotel,Zhongshan
"No.66 Nanking East Road, Section1, Taipei 104, Taiwan ",25.05207,121.52508,Taipei International Hotel,Zhongshan
"No.17-3 Lane 77, Section 2, Chungshan North Road, Taipei 104, Taiwan (Formerly Golden Time Hotel)",25.057611,121.52377,Wish Hotel,Zhongshan
"No.163 Section 2, Nanjing East Road, Taipei 104, Taiwan ",25.05224,121.53597,MAI HOTEL-Nanjin E.Branch,Zhongshan
"No.23-1 Shuang Cheng Street, Zhongshan District, Taipei 104, Taiwan ",25.06586,121.52431,Friends Yo Lai Regency,Zhongshan
"No.15 Lane 105, Sec. 1, Zhongshan North Road, Taipei 10446, Taiwan ",25.050827,121.52359,Mai Hotel Zhongshan,Zhongshan
"No.338 Fuxing N. Rd., Zhongshan District, Taipei 104, Taiwan ",25.059544,121.544,"Cityinn Hotel Plus - Fuxing N. Rd., Branch",Zhongshan
"3F., No.246, Sec.2, Changan E. Rd., Taipei 10492, Taiwan ",25.04817,121.54311,Ark Hotel - Chang'an Fuxing,Zhongshan
"No.57-1 Section 2, Zhongshan North Road, Taipei 10412, Taiwan ",25.055792,121.52299,amba Taipei Zhongshan,Zhongshan
"No.98 Yanchang Road, Xinyi District, Taipei 11072, Taiwan ",25.044977,121.5615,Eslite Hotel,Xinyi
"No. 199, Lequn 2nd Road, Taipei, Taiwan, Taipei 10462, Taiwan ",25.080334,121.55896,Taipei Marriott Hotel,Zhongshan
"No.16 Section 3, Nanjing East Road, Zhongshan District, Taipei 10489, Taiwan ",25.05179,121.53758,U Hotel Taipei - Nanjing East Road,Zhongshan
"No.181 Section 2, ChungShan North Road, Zhongshan District, Taipei 104, Taiwan ",25.06323,121.52265,Sansui Hotel,Zhongshan
"No.16 Lane 107 Linshen North Road, Zhongshan District, Taipei 104, Taiwan ",25.05015,121.52573,Liz Hotel,Zhongshan
"No. 1 Shuangcheng St., Zhongshan Dist., Taipei 104, Taiwan ",25.062925,121.52455,Aloft Taipei Zhongshan,Zhongshan
"No.10 Jinzhou Street, Zhongshan District, Taipei 104, Taiwan ",25.06035,121.5238,Gwo Shiuan Hotel,Zhongshan
"No.55-1 Section 4, Nanking East Road, Songshan District, Taipei 104, Taiwan (Formerly Hondo Hotel)",25.05185,121.55239,Capital Hotel Arena,Zhongshan
"3F., No.282 Linsen North Road, Taipei 10450, Taiwan ",25.055502,121.52533,E Hotel,Zhongshan
"No.1-2 Zhongshan Road, Beitou District, Taipei 112, Taiwan ",25.137383,121.50881,Pink Lotus Hotel,Beitou
"No.93 Section 2, Chienkuo North Road, Taipei 104, Taiwan (Formerly Shang Hao Hotel)",25.05874,121.53717,RF Pretty Hotel,Zhongshan
"No.40 Zhong He Street, Taipei 112, Taiwan ",25.13821,121.5026,E-JIA Service Apartment,Beitou
"No. 199, Lequn 2nd Road, Taipei, Taiwan, Taipei 10462, Taiwan ",25.080334,121.55896,Taipei Marriott Hotel,Zhongshan
"No.2 Min Chuan East Road, Section 3, Taipei 10464, Taiwan ",25.05784,121.53752,Hotel Taipei Miramar,Zhongshan
"1F, No. 31, Fushun Street, Taipei 104, Taiwan ",25.063555,121.52007,Inn Cube- Minquan,Zhongshan
"3F, No.468, Section 4, Xinyi Road, Xinyi District, Taipei 110, Taiwan ",25.03298,121.55913,AT Boutique Hotel,Xinyi
"No.30-148-20 Yongji Road, Xinyi District, Taipei 110, Taiwan ",25.042774,121.567696,EnRich House,Xinyi
"5F., No.95-1, Songjiang Rd., Taipei 104, Taiwan ",25.050898,121.533325,Free An Hotel,Zhongshan
"3F, No.71, Section 2, Zhongshan North Road, Zhongshan District, Taipei 104, Taiwan ",25.05728,121.52305,Beauty Hotels Taipei - Hotel Bstay,Zhongshan
"No.385 Hsin-Yi Road, Section 4, Sinyi Road Sinyi District, Taipei 110, Taiwan ",25.03314,121.55813,Royal Best Suites,Xinyi
"No.10 Lane 107, Linsen North Road, Taipei 104, Taiwan ",25.0502,121.52546,Taipei Hotel New Moon,Zhongshan
"No.485 Songjiang Road, Taipei 104, Taiwan ",25.0672,121.53338,Green World Hotel Song Jiang,Zhongshan
"No.299 Lequn 2nd Road, Zhongshan District, Taipei 104, Taiwan ",25.079975,121.56104,istaytion-Rome Holiday Station,Zhongshan
"2F., No.9, Lane 259 Linsen North Road, Zhongshan District, Taipei 10450, Taiwan ",25.05434,121.52606,Beauty Hotels Taipei - Hotel Bfun,Zhongshan
"No.15-2, Sec. 2, Keelung Rd, Taipei 110, Taiwan ",25.02918,121.55725,HolyPro Boutique Hotel,Xinyi
"No.673 Linsen North Road, Zhongshan District, Taipei 104, Taiwan ",25.06817,121.52578,Hotel Prima Casa,Zhongshan
"No.9 Peitou Road, Section 2, Peitou District, Taipei 112, Taiwan ",25.13076,121.49917,Chinatrust Executive Suites Peitou,Beitou
"No.143 Chue Chun Road, Taipei 104, Taiwan ",25.053928,121.53905,Happy Family Hostel II,Zhongshan
"No.153 Songshan Road, Xinyi District, Taipei 110, Taiwan ",25.04653,121.57789,Wonstar Hotel (Songshan),Xinyi
"No.25 Quanyuan Road, Beitou District, Taipei 112, Taiwan ",25.13936,121.50602,Longbon Resort Beitou,Beitou
"No.7 Lane 21, Zhang street , Shilin District, Taipei 112, Taiwan (Formerly Tianmu Star Urban Living Serviced Apartment)",25.114,121.514336,Yangming Service Apartment,Beitou
"3F, No.34 Nong'an Street, Jhongshan District, Taipei 104, Taiwan (Formerly Nongan Hotel)",25.0649,121.52682,Cai She Hotel,Zhongshan
"3F,No.30,Lane 183, Section 2, Zhongshan North Road, Zhongshan District, Taipei 104, Taiwan ",25.06367,121.52419,Dongfangdi Hotel,Zhongshan
"No.8 Lane 133, Linsen North Road, Zhongshan District, Taipei 10454, Taiwan ",25.051096,121.52517,Rose Hotel Linsen,Zhongshan
"No.283 Guang Ming Road, Peitou District, Taipei 112, Taiwan ",25.136951,121.511,Spa World Spring Resort,Beitou
"No.258 Guangming Road, Beitou District, Taipei 112, Taiwan ",25.1368,121.50934,Atami Hotel Taipei Onsen,Beitou
"No.108 Sec 2, Nanjing E. Rd.,, Taipei 104, Taiwan ",25.05196,121.53208,I Station-Midtown Apartment,Zhongshan
"2-5F, No.262 Wolong Street, Taipei 110, Taiwan ",25.01768,121.55796,Lucky Apartment TWTC Linguang,Xinyi
"No.17 Quanyuan Road, Beitou District, Taipei 112, Taiwan ",25.13825,121.50455,Shan Yue Hotspring Hotel Taipei,Beitou
"1F-10F, No.293 Songjiang Road, Zhongshan District, Taipei 104, Taiwan ",25.06061,121.53339,Taipei Easy Stay Inn - Serviced Apartment SJ-293,Zhongshan
"No.64 Section 1, ChangAn East Road, Taipei 104, Taiwan ",25.048027,121.52942,Ambience Hotel,Zhongshan
"No.2 SongShou Road, Xinyi District, Taipei 110, Taiwan ",25.03564,121.56262,Grand Hyatt Taipei,Xinyi
"No.1 Section 4, Chung Shan North Road, Taipei 104, Taiwan ",25.0785,121.526,Grand Hotel Taipei,Zhongshan
"No.3, Lane 39, Section 2, Chungshan North Road, Taipei 104, Taiwan (Formerly The Regent Taipei)",25.054157,121.52435,Regent Taipei,Zhongshan
"No.10 Section 5, Zhongxiao East Road, Xinyi District, Taipei 110, Taiwan ",25.040604,121.56546,W Taipei,Xinyi
"No.37-1, Section 2, Chung Shan North Road, Taipei 104, Taiwan ",25.05372,121.52277,Hotel Royal-Nikko Taipei,Zhongshan
"No.41 Min Chuan East Road, Section 2, Taipei 104, Taiwan ",25.062574,121.52999,Landis Taipei Hotel,Zhongshan
"No.359 Linsen North Road, Taipei 104, Taiwan ",25.05724,121.52553,Gloria Residence,Zhongshan
