Order ID,Order Date,Order Quantity,Sales,Profit,Unit Price,Province,Customer Segment,Product Category
4676,2011/8/31,3,49.59,-8.38,12.28,Nunavut,Home Office,Office Supplies
4676,2011/8/31,30,4253.009,1115.69,155.99,Nunavut,Home Office,Technology
5284,2011/7/8,7,59.38,-3.05,8.69,Nunavut,Home Office,Office Supplies
5316,2009/1/30,42,1285.37,514.07,31.78,Nunavut,Corporate,Technology
5409,2012/1/8,11,48.91,-7.04,3.98,Nunavut,Corporate,Office Supplies
5506,2010/11/7,22,129.62,4.41,5.88,Nunavut,Corporate,Office Supplies
5569,2010/4/29,12,118.97,-0.06,9.65,Nunavut,Corporate,Furniture
5607,2011/12/31,8,61.8715,-50.33,7.99,Nunavut,Home Office,Technology
5894,2009/8/12,7,384.33,87.68,58.1,Nunavut,Corporate,Office Supplies
5894,2009/8/12,3,239.03,-68.22,80.48,Nunavut,Corporate,Office Supplies
5925,2011/11/12,44,3922.42,-354.90,92.23,Nunavut,Home Office,Furniture
5925,2011/11/12,25,1733.3625,-267.01,85.99,Nunavut,Home Office,Technology
6016,2012/1/20,19,208.28,3.63,11.48,Nunavut,Home Office,Office Supplies
6116,2009/3/20,6,9620.82,-1759.58,1637.53,Nunavut,Corporate,Office Supplies
6182,2012/7/21,40,255.48,-116.79,6.48,Nunavut,Corporate,Office Supplies
6182,2012/7/21,18,130.32,-67.28,6.48,Nunavut,Corporate,Office Supplies
6535,2012/6/12,11,312.36,-19.33,28.15,Nunavut,Corporate,Office Supplies
6884,2009/1/15,41,217,-61.21,4.98,Nunavut,Home Office,Office Supplies
6884,2009/1/15,47,296.13,119.09,6.35,Nunavut,Home Office,Office Supplies
6916,2010/6/4,40,436.17,-141.27,10.9,Nunavut,Consumer,Office Supplies
6980,2010/2/18,18,136.29,-77.28,7.3,Nunavut,Consumer,Office Supplies
6982,2011/11/16,32,1311.25,407.44,39.48,Nunavut,Corporate,Technology
6982,2011/11/16,5,544.41,-338.27,100.98,Nunavut,Corporate,Furniture
6982,2011/11/16,41,844.09,52.56,19.98,Nunavut,Corporate,Furniture
7110,2011/8/7,22,6396.2,1902.24,276.2,Nunavut,Corporate,Furniture
7430,2010/6/8,50,751.77,353.20,15.67,Nunavut,Corporate,Office Supplies
7906,2009/10/17,37,1003.06,271.78,25.98,Nunavut,Consumer,Office Supplies
8391,2011/8/28,4,1266.72,-268.36,300.98,Nunavut,Corporate,Furniture
8419,2011/9/29,19,368.04,70.39,19.98,Nunavut,Small Business,Office Supplies
8419,2011/9/29,24,152.6,-86.62,6.48,Nunavut,Small Business,Office Supplies
8833,2012/5/4,40,3338.98,-846.73,80.98,Nunavut,Small Business,Office Supplies
8995,2011/5/17,5,24.16,8.05,1.88,Nunavut,Consumer,Office Supplies
8995,2011/5/17,41,270.84,-78.02,6.48,Northwest Territories,Consumer,Office Supplies
8995,2011/5/17,35,3389.93,737.94,102.3,Northwest Territories,Consumer,Furniture
8995,2011/5/17,42,266.36,-191.28,6.48,Northwest Territories,Consumer,Office Supplies
8995,2011/5/17,46,89.41,-21.49,1.89,Northwest Territories,Consumer,Office Supplies
9126,2009/11/17,47,2799.7,884.08,62.05,Northwest Territories,Corporate,Office Supplies
9127,2011/10/10,7,2039.56,-329.49,279.48,Northwest Territories,Corporate,Office Supplies
9509,2012/10/7,36,12175.82,2825.15,320.98,Northwest Territories,Home Office,Furniture
9509,2012/10/7,5,101.21,2.13,18.97,Northwest Territories,Home Office,Office Supplies
9509,2012/10/7,32,1585.64,707.15,48.91,Northwest Territories,Home Office,Office Supplies
9763,2011/8/13,44,176.26,75.13,4.13,Northwest Territories,Corporate,Office Supplies
9927,2011/8/16,32,4655.07,-270.63,140.98,Northwest Territories,Corporate,Furniture
9927,2011/8/16,44,10087.6,3387.35,218.08,Northwest Territories,Corporate,Furniture
9927,2011/8/16,34,1608.08,-82.16,50.98,Northwest Territories,Corporate,Technology
10022,2009/3/4,1,12.18,-3.88,10.14,Northwest Territories,Small Business,Office Supplies
10437,2009/8/18,50,820.52,-191.22,15.99,Northwest Territories,Corporate,Office Supplies
10499,2010/11/16,29,6250.936,31.21,262.11,Northwest Territories,Corporate,Furniture
10535,2011/5/27,25,854.88,-44.14,33.98,Northwest Territories,Corporate,Furniture
10535,2011/5/27,46,80.27,-0.79,1.76,Northwest Territories,Corporate,Office Supplies
10789,2010/8/23,15,308.54,76.42,19.84,Northwest Territories,Corporate,Office Supplies
10791,2011/8/19,20,400.57,93.36,19.98,Northwest Territories,Small Business,Office Supplies
10945,2012/1/3,14,1170.025,4.22,95.99,Northwest Territories,Consumer,Technology
11137,2012/11/29,48,5188.86,395.12,111.03,Northwest Territories,Small Business,Office Supplies
11202,2012/3/17,8,339.81,79.59,43.41,Northwest Territories,Corporate,Office Supplies
11456,2010/4/12,15,1519.9,399.37,105.34,Northwest Territories,Corporate,Furniture
11460,2010/8/24,30,102.24,37.79,3.69,Northwest Territories,Home Office,Office Supplies
11495,2011/7/4,6,965.69,-144.20,146.34,Northwest Territories,Corporate,Furniture
11911,2010/11/10,25,397.84,-14.75,15.22,Northwest Territories,Consumer,Office Supplies
11941,2010/6/24,4,73.07,-41.01,15.7,Northwest Territories,Corporate,Office Supplies
11941,2010/6/24,26,4679.1,111.52,179.29,Northwest Territories,Corporate,Furniture
12096,2012/9/19,46,8009.5925,2332.40,200.99,Northwest Territories,Home Office,Technology
12096,2012/9/19,23,4689.66,2176.19,194.3,Northwest Territories,Home Office,Furniture
12289,2011/12/24,25,3019.41,1269.05,120.97,Northwest Territories,Corporate,Technology
12352,2012/3/23,5,36.86,-32.82,5.81,Northwest Territories,Corporate,Office Supplies
12419,2011/10/15,12,22079.47,5322.14,1938.02,Northwest Territories,Corporate,Technology
12485,2010/8/7,24,5407.31,1068.48,226.67,Northwest Territories,Home Office,Furniture
12544,2009/3/3,34,74.3,-129.01,2.08,Northwest Territories,Corporate,Furniture
12704,2010/2/9,44,21506.77,1260.51,499.99,Northwest Territories,Small Business,Technology
12704,2010/2/9,28,669.02,-1274.02,20.98,Northwest Territories,Small Business,Office Supplies
12771,2009/1/17,40,1143.49,-193.44,30.53,Northwest Territories,Small Business,Office Supplies
12771,2009/1/17,46,78.08,-43.10,1.68,Northwest Territories,Small Business,Office Supplies
12929,2010/8/30,19,5297.47,-158.93,270.98,Northwest Territories,Corporate,Furniture
12929,2010/8/30,20,95.3,29.68,4.48,Northwest Territories,Corporate,Office Supplies
13280,2009/9/11,40,460.68,-116.76,10.9,Northwest Territories,Small Business,Office Supplies
13280,2009/9/11,49,318.7585,-160.95,7.99,Northwest Territories,Small Business,Technology
13313,2009/7/16,47,1020.61,-209.61,21.66,Northwest Territories,Home Office,Office Supplies
13346,2012/11/15,44,268.34,-240.83,6.48,Northwest Territories,Corporate,Office Supplies
13702,2011/9/10,6,209,12.32,35.44,Northwest Territories,Small Business,Office Supplies
13795,2011/4/10,30,501.32,-119.08,15.99,Northwest Territories,Small Business,Office Supplies
13795,2011/4/10,23,275.16,43.35,11.34,Northwest Territories,Small Business,Office Supplies
13795,2011/4/10,37,1302.99,545.49,35.44,Northwest Territories,Small Business,Office Supplies
14116,2011/10/9,1,40.1,-16.07,30.98,Northwest Territories,Small Business,Office Supplies
14116,2011/10/9,42,1414.05,161.48,34.54,Northwest Territories,Small Business,Office Supplies
14372,2012/10/23,34,5350.61,-1059.20,170.98,Northwest Territories,Corporate,Furniture
14726,2012/1/8,15,310.87,-21.48,20.95,Northwest Territories,Consumer,Technology
14819,2010/1/25,48,9062.73,3122.78,207.48,Northwest Territories,Home Office,Office Supplies
14819,2010/1/25,27,1584.1,-478.22,58.14,Northwest Territories,Home Office,Furniture
15106,2011/1/27,42,283.58,-14.23,6.64,Northwest Territories,Home Office,Furniture
15106,2011/1/27,39,5403.37,948.79,145.45,Northwest Territories,Home Office,Technology
15106,2011/1/27,35,82.15,-6.33,2.21,Northwest Territories,Home Office,Office Supplies
15108,2009/8/27,50,2066.16,372.36,40.99,Northwest Territories,Small Business,Office Supplies
15205,2011/3/17,18,4605.36,678.26,243.98,Northwest Territories,Corporate,Furniture
15205,2011/3/17,42,1753.51,155.72,39.98,Northwest Territories,Corporate,Furniture
15591,2012/6/6,31,426.34,73.53,12.58,Northwest Territories,Small Business,Furniture
15907,2011/4/11,36,1837.44,-1414.41,48.58,Northwest Territories,Home Office,Furniture
15907,2011/4/11,36,3722.29,950.68,105.98,Northwest Territories,Home Office,Furniture
15907,2011/4/11,4,28.05,-5.41,7.04,Northwest Territories,Home Office,Office Supplies
15937,2012/11/6,32,311.44,74.07,9.78,Northwest Territories,Corporate,Technology
15937,2012/11/6,17,215.65,77.38,12.22,Northwest Territories,Corporate,Furniture
16039,2012/5/16,3,121.12,-118.82,43.98,Northwest Territories,Home Office,Technology
16193,2012/4/9,8,300.2,6.41,34.76,Northwest Territories,Corporate,Office Supplies
16193,2012/4/9,29,1364.8025,-183.68,55.99,Northwest Territories,Corporate,Technology
16423,2012/8/5,19,128.21,-55.13,6.48,Northwest Territories,Corporate,Office Supplies
16451,2009/7/22,9,252.79,58.23,30.56,Northwest Territories,Corporate,Office Supplies
16545,2010/5/9,10,50.97,4.45,5.16,Northwest Territories,Small Business,Office Supplies
16545,2010/5/9,1,4.99,-3.06,3.68,Northwest Territories,Small Business,Office Supplies
16547,2009/2/18,30,10554.63,1240.25,355.98,Northwest Territories,Corporate,Furniture
16547,2009/2/18,8,1749.64,-533.23,218.75,Northwest Territories,Corporate,Furniture
16706,2012/6/27,47,1943.72,-1003.58,41.47,Northwest Territories,Corporate,Furniture
16706,2012/6/27,6,18.37,-4.06,2.78,Northwest Territories,Corporate,Office Supplies
16706,2012/6/27,49,6175.777,1881.58,155.99,Northwest Territories,Corporate,Technology
16741,2010/9/30,6,157.97,-42.38,22.84,Northwest Territories,Small Business,Office Supplies
16932,2010/4/15,25,144.84,-120.99,5.78,Northwest Territories,Consumer,Office Supplies
16932,2010/4/15,20,127.16,12.88,6.7,Northwest Territories,Consumer,Office Supplies
17283,2011/9/14,4,5472.12,-2816.34,1360.14,Northwest Territories,Home Office,Technology
17286,2010/9/21,7,1810.67,-541.87,270.98,Northwest Territories,Small Business,Furniture
17409,2010/8/17,31,633.56,-158.87,20.97,Northwest Territories,Small Business,Technology
17764,2009/9/16,27,644.4,-97.28,22.84,Northwest Territories,Home Office,Office Supplies
18080,2009/6/22,7,1211.98,-80.83,180.98,Northwest Territories,Corporate,Furniture
18113,2012/8/28,27,3316.08,-514.32,130.98,Northwest Territories,Consumer,Furniture
18144,2011/6/7,48,207.08,-131.82,4.28,Northwest Territories,Corporate,Office Supplies
18144,2011/6/7,8,234.28,-65.42,28.28,Northwest Territories,Corporate,Office Supplies
18144,2011/6/7,41,1779.8915,-250.17,55.99,Northwest Territories,Corporate,Technology
18308,2009/10/9,30,114.12,15.73,3.8,Northwest Territories,Corporate,Office Supplies
18308,2009/10/9,15,436.05,-92.58,30.73,Northwest Territories,Corporate,Technology
18308,2009/10/9,49,5247.4835,1465.87,125.99,Northwest Territories,Corporate,Technology
18887,2010/12/5,9,173.417,18.23,20.99,Northwest Territories,Corporate,Technology
19010,2009/6/7,18,23792.93,10951.31,1270.99,Northwest Territories,Small Business,Office Supplies
19078,2009/7/27,21,256.12,-18.19,11.97,Northwest Territories,Corporate,Office Supplies
19138,2011/9/5,30,387,-31.45,12.28,Northwest Territories,Home Office,Office Supplies
19655,2009/1/11,31,1143.45,304.42,39.24,Northwest Territories,Corporate,Technology
19686,2010/8/15,2,42.31,-53.08,17.98,Northwest Territories,Corporate,Technology
19686,2010/8/15,11,152.67,12.76,12.95,Northwest Territories,Corporate,Office Supplies
20007,2009/8/5,49,82.61,-46.25,1.68,Northwest Territories,Small Business,Office Supplies
20071,2011/9/17,31,789.94,-190.41,25.98,Northwest Territories,Home Office,Furniture
20160,2011/10/22,42,435.24,174.89,10.31,Northwest Territories,Small Business,Office Supplies
20263,2009/11/14,8,473.7,72.51,59.78,Northwest Territories,Small Business,Office Supplies
20263,2009/11/14,33,553.5625,-76.86,20.99,Northwest Territories,Small Business,Technology
21285,2010/7/3,32,54.78,-30.54,1.68,Northwest Territories,Corporate,Office Supplies
21285,2010/7/3,47,304.83,23.82,7.08,Northwest Territories,Corporate,Office Supplies
21383,2009/1/30,31,16066.85,7416.43,574.74,Northwest Territories,Consumer,Technology
21607,2012/3/15,17,618.9,54.92,36.55,Northwest Territories,Home Office,Office Supplies
21636,2009/8/10,35,1665.0395,366.51,55.99,Northwest Territories,Home Office,Technology
21889,2010/4/1,21,1049.79,135.79,51.75,Northwest Territories,Consumer,Furniture
21889,2010/4/1,16,817.18,103.38,55.29,Northwest Territories,Consumer,Office Supplies
22151,2010/7/31,49,465.83,-79.72,9.65,Northwest Territories,Corporate,Furniture
22342,2009/5/29,13,241.706,-92.96,20.99,Northwest Territories,Small Business,Technology
22469,2010/10/11,44,275.91,-162.37,7.99,Northwest Territories,Corporate,Technology
22501,2010/5/18,2,30.83,7.27,7.64,Northwest Territories,Corporate,Office Supplies
22532,2011/2/8,13,121.66,-11.80,8.85,Northwest Territories,Consumer,Office Supplies
23264,2010/12/7,16,108.42,-50.82,6.48,Northwest Territories,Corporate,Office Supplies
23264,2010/12/7,27,78.47,17.99,2.88,Northwest Territories,Corporate,Office Supplies
23488,2009/1/6,30,26133.39,-11053.60,880.98,Northwest Territories,Home Office,Furniture
23584,2012/3/12,14,2671.21,636.18,200.97,Northwest Territories,Corporate,Technology
24007,2010/8/26,26,531.66,135.65,20.89,Northwest Territories,Home Office,Technology
24007,2010/8/26,28,317.85,-13.95,11.58,Northwest Territories,Home Office,Office Supplies
24007,2010/8/26,42,163.08,66.17,4.13,Northwest Territories,Home Office,Office Supplies
24038,2011/6/20,38,103.07,-0.95,2.78,Northwest Territories,Corporate,Office Supplies
24097,2010/8/4,1,17.19,-35.34,14.48,Northwest Territories,Small Business,Technology
24097,2010/8/4,27,2689.48,399.93,99.99,Northwest Territories,Small Business,Technology
24097,2010/8/4,2,15.31,-8.15,4.98,Northwest Territories,Small Business,Office Supplies
24128,2010/11/23,13,270.63,7.07,21.98,Northwest Territories,Corporate,Office Supplies
24128,2010/11/23,43,6583.913,1459.79,195.99,Northwest Territories,Corporate,Technology
24294,2009/8/2,24,4865.72,1951.30,200.97,Northwest Territories,Home Office,Technology
24387,2011/8/10,23,1003.31,51.90,40.97,Northwest Territories,Small Business,Furniture
24387,2011/8/10,17,6048.18,1418.36,349.45,Northwest Territories,Small Business,Furniture
24515,2010/5/6,41,3051.27,121.48,80.97,Northwest Territories,Home Office,Technology
24743,2012/6/28,47,9633.59,176.67,216.6,Northwest Territories,Corporate,Furniture
24743,2012/6/28,26,3758.77,753.61,140.81,Northwest Territories,Corporate,Furniture
24871,2011/3/23,6,143.78,75.30,22.72,Northwest Territories,Corporate,Furniture
25318,2011/11/19,22,440.92,-65.18,19.98,Northwest Territories,Small Business,Furniture
25377,2012/11/26,3,4343.51,-3755.03,1500.97,Northwest Territories,Corporate,Technology
25634,2010/7/29,29,593.32,28.99,20.95,Northwest Territories,Corporate,Technology
25634,2010/7/29,26,626.07,185.32,23.99,Northwest Territories,Corporate,Office Supplies
25733,2012/5/12,24,557.23,-42.99,24.92,Northwest Territories,Home Office,Office Supplies
25767,2012/3/3,7,261.88,-59.20,39.48,Northwest Territories,Corporate,Technology
25767,2012/3/3,15,593.73,108.01,38.76,Northwest Territories,Corporate,Office Supplies
26023,2010/8/20,49,120.77,19.86,2.47,Northwest Territories,Corporate,Office Supplies
26051,2010/6/27,22,795.74,-127.39,33.94,Northwest Territories,Home Office,Furniture
26051,2010/6/27,31,251.75,22.46,8.33,Northwest Territories,Home Office,Technology
26116,2012/10/29,36,697.41,81.71,18.97,Northwest Territories,Small Business,Office Supplies
26182,2010/1/16,30,4684.9,-549.27,150.98,Northwest Territories,Corporate,Furniture
26272,2012/6/29,6,905.94,-4.19,140.81,Northwest Territories,Home Office,Furniture
26370,2011/8/8,12,270.23,52.02,22.84,Northwest Territories,Home Office,Office Supplies
26370,2011/8/8,20,660.27,63.83,34.76,Northwest Territories,Home Office,Office Supplies
26499,2010/2/21,11,32.4,8.78,2.88,Northwest Territories,Corporate,Office Supplies
26531,2011/6/20,26,4688.9485,1215.44,205.99,Northwest Territories,Corporate,Technology
26567,2009/9/4,8,50.7,-44.07,5.4,Northwest Territories,Corporate,Office Supplies
26567,2009/9/4,10,90.06,-100.51,8.46,Northwest Territories,Corporate,Technology
26567,2009/9/4,22,338.52,-17.75,14.98,Northwest Territories,Corporate,Furniture
26567,2009/9/4,48,6109.817,1374.95,155.99,Northwest Territories,Corporate,Technology
26854,2009/6/21,1,34.11,-12.95,25.38,Northwest Territories,Home Office,Furniture
27109,2012/2/8,48,538.22,-154.66,10.97,Northwest Territories,Consumer,Technology
27111,2009/3/11,11,1064.23,-127.56,99.99,Northwest Territories,Home Office,Technology
27111,2009/3/11,18,3497.05,282.18,193.17,Northwest Territories,Home Office,Office Supplies
27111,2009/3/11,44,774.0525,-96.34,20.99,Northwest Territories,Home Office,Technology
27264,2011/6/4,3,74.05,44.54,19.99,Northwest Territories,Small Business,Furniture
27392,2012/3/2,37,5753.85,2509.52,150.98,Northwest Territories,Corporate,Technology
27553,2011/8/12,48,18235.47,1166.93,370.98,Northwest Territories,Corporate,Office Supplies
27553,2011/8/12,16,2631.107,297.11,179.99,Northwest Territories,Corporate,Technology
27555,2009/9/1,32,209.42,65.41,6.74,Northwest Territories,Consumer,Office Supplies
27680,2010/1/26,32,324.4,-46.98,10.89,Northwest Territories,Small Business,Office Supplies
27680,2010/1/26,19,137.02,-46.89,6.48,Northwest Territories,Small Business,Office Supplies
27778,2011/9/2,1,232.67,-105.14,223.98,Northwest Territories,Corporate,Office Supplies
27778,2011/9/2,34,4805.92,-393.96,140.98,Northwest Territories,Corporate,Furniture
27909,2012/2/7,1,62.26,-23.24,54.96,Northwest Territories,Corporate,Office Supplies
27909,2012/2/7,47,58.53,-24.86,1.26,Northwest Territories,Corporate,Office Supplies
28003,2011/3/19,31,157.79,-95.92,4.98,Northwest Territories,Corporate,Office Supplies
28035,2011/5/8,19,376.21,89.56,18.99,Northwest Territories,Home Office,Office Supplies
28135,2009/9/25,37,1601.24,520.69,46.89,Northwest Territories,Corporate,Office Supplies
28135,2009/9/25,40,501.31,38.23,12.98,Northwest Territories,Corporate,Office Supplies
28165,2012/7/9,2,24.96,-12.80,10.91,Northwest Territories,Corporate,Office Supplies
28289,2010/1/14,31,166.76,-46.03,4.98,Northwest Territories,Corporate,Office Supplies
28486,2009/8/26,2,811.13,-517.47,415.88,Northwest Territories,Corporate,Office Supplies
28675,2009/10/8,15,822.8425,4.39,65.99,Northwest Territories,Consumer,Technology
28870,2011/11/10,35,3310.9455,822.40,115.99,Northwest Territories,Corporate,Technology
28871,2012/4/15,10,55.02,-56.12,5.02,Northwest Territories,Small Business,Technology
29030,2012/1/2,10,192.58,24.60,19.84,Northwest Territories,Corporate,Office Supplies
29095,2011/3/8,40,291.67,54.46,6.75,Northwest Territories,Small Business,Office Supplies
29287,2009/7/2,50,281.39,-106.40,5.74,Northwest Territories,Consumer,Office Supplies
29287,2009/7/2,49,12593.91,2699.67,270.97,Northwest Territories,Consumer,Technology
29510,2011/4/15,22,6123.94,1292.44,260.98,Northwest Territories,Home Office,Furniture
29795,2011/11/25,49,19325.2,8793.54,387.99,Northwest Territories,Small Business,Office Supplies
29795,2011/11/25,48,8380.22,813.83,160.98,Northwest Territories,Small Business,Furniture
29861,2012/4/25,11,35.17,5.58,3.08,Northwest Territories,Small Business,Office Supplies
30658,2011/3/26,35,17387.65,6907.61,499.99,Northwest Territories,Corporate,Technology
30658,2011/3/26,44,6040.22,-942.50,138.14,Northwest Territories,Corporate,Office Supplies
30947,2010/7/14,17,691.59,261.24,41.94,Northwest Territories,Corporate,Office Supplies
30947,2010/7/14,45,345.2,183.53,7.31,Northwest Territories,Corporate,Office Supplies
31077,2010/10/23,36,1955.0765,470.83,65.99,Northwest Territories,Small Business,Technology
31111,2009/8/24,27,217.93,-29.02,7.64,Northwest Territories,Corporate,Office Supplies
31169,2011/6/9,6,254.76,109.88,40.97,Northwest Territories,Home Office,Furniture
31270,2012/11/23,21,6806.66,801.72,299.05,Northwest Territories,Corporate,Furniture
31270,2012/11/23,3,891.61,-328.36,291.73,Northwest Territories,Corporate,Furniture
31270,2012/11/23,5,165.04,-112.44,30.42,Northwest Territories,Corporate,Technology
31364,2009/5/1,2,789.01,-539.59,415.88,Northwest Territories,Corporate,Office Supplies
31393,2012/5/11,4,97.57,-27.31,19.94,Northwest Territories,Corporate,Furniture
31393,2012/5/11,31,110.32,-32.65,3.68,Northwest Territories,Corporate,Office Supplies
31492,2010/10/15,26,321.68,-12.25,11.97,Northwest Territories,Small Business,Office Supplies
31492,2010/10/15,34,971.95,-21.10,29.74,Northwest Territories,Small Business,Office Supplies
31492,2010/10/15,23,2149.03,-235.56,95.43,Northwest Territories,Small Business,Office Supplies
31558,2011/7/23,12,3671.3,900.06,300.65,Northwest Territories,Home Office,Office Supplies
31558,2011/7/23,42,1763.6,455.37,45.19,Northwest Territories,Home Office,Technology
31618,2011/7/11,14,403.17,147.45,28.53,Northwest Territories,Corporate,Office Supplies
31684,2012/9/16,15,89.97,23.48,5.68,Northwest Territories,Corporate,Office Supplies
31684,2012/9/16,28,456.91,-328.18,15.51,Northwest Territories,Corporate,Office Supplies
31781,2009/1/16,46,249.02,-282.61,5.81,Northwest Territories,Corporate,Office Supplies
31781,2009/1/16,41,78.49,5.53,1.81,Northwest Territories,Corporate,Office Supplies
32193,2010/10/20,4,40.72,-10.25,6.68,Northwest Territories,Small Business,Office Supplies
32193,2010/10/20,27,113.3,37.33,3.93,Northwest Territories,Small Business,Office Supplies
32229,2010/8/30,8,1219.19,44.37,150.98,Northwest Territories,Corporate,Technology
32229,2010/8/30,15,28.68,-0.12,1.76,Northwest Territories,Corporate,Office Supplies
32743,2010/5/7,19,3548.67,1280.19,177.98,Northwest Territories,Corporate,Office Supplies
32806,2011/6/21,8,178.78,-28.34,20.24,Northwest Territories,Home Office,Furniture
33123,2010/11/24,41,6045.98,-996.67,150.98,Northwest Territories,Corporate,Furniture
33159,2012/4/27,3,56.695,-70.97,20.99,Northwest Territories,Corporate,Technology
33186,2012/8/28,24,1350.531,221.18,65.99,Northwest Territories,Corporate,Technology
33377,2011/7/31,20,100.4,11.94,5.18,Northwest Territories,Corporate,Office Supplies
33377,2011/7/31,19,327.15,47.30,17.24,Northwest Territories,Corporate,Office Supplies
33444,2012/10/6,11,30.51,-17.68,2.6,Northwest Territories,Corporate,Office Supplies
33444,2012/10/6,8,127.8,-30.48,14.97,Northwest Territories,Corporate,Office Supplies
33703,2010/2/6,4,242.36,-131.48,60.98,Northwest Territories,Corporate,Technology
33703,2010/2/6,25,802.19,56.26,29.74,Northwest Territories,Corporate,Office Supplies
33703,2010/2/6,4,63.52,-8.47,12.21,Northwest Territories,Corporate,Office Supplies
33734,2011/10/17,13,371.94,106.53,29.14,Northwest Territories,Corporate,Office Supplies
33888,2009/8/20,31,349.43,-44.92,11.5,Northwest Territories,Home Office,Office Supplies
33888,2009/8/20,3,58.33,-35.08,15.7,Northwest Territories,Home Office,Office Supplies
33888,2009/8/20,47,10377.22,965.48,225.02,Northwest Territories,Home Office,Office Supplies
33894,2010/6/14,14,140.66,11.34,9.27,Northwest Territories,Corporate,Office Supplies
33894,2010/6/14,5,42.89,-32.48,6.84,Northwest Territories,Corporate,Office Supplies
33894,2010/6/14,48,226.5,-173.15,4.98,Northwest Territories,Corporate,Technology
33894,2010/6/14,13,438.93,-119.02,32.98,Northwest Territories,Corporate,Technology
33922,2010/2/27,31,15251.5,5353.19,500.97,Northwest Territories,Home Office,Technology
